0.000	352.293	3.0
352.293	372.866	2.0
372.866	393.996	0.0
393.996	403.702	0.0
403.702	412.944	0.0
412.944	427.294	0.0
427.294	442.712	0.0
442.712	494.539	0.0
494.539	512.186	0.0
512.186	521.334	0.0
521.334	539.771	0.0
539.771	562.202	0.0
562.202	568.842	0.0
568.842	578.363	0.0
578.363	621.041	0.0
621.041	677.976	0.0
677.976	710.531	0.0
710.531	740.206	0.0
740.206	746.011	0.0
746.011	876.414	0.0
876.414	1023.582	0.0
1023.582	1033.474	0.0
1033.474	1147.298	0.0
1147.298	1187.608	0.0
1187.608	1210.688	0.0
1210.688	1217.701	0.0
1217.701	1222.949	0.0
1222.949	1296.509	0.0
1296.509	1304.497	0.0
1304.497	1364.219	0.0
1364.219	1382.005	0.0
1382.005	1384.699	0.0
1384.699	1416.928	0.0
1416.928	1420.458	0.0
1420.458	1439.916	0.0
1439.916	1743.865	0.0
1743.865	1743.910	3.0
